table,region,year,indicator,value,unit,notes
2-8,75-79岁,2024,男占比重,1.36,%,按年龄和性别分人口数
2-8,75-79岁,2024,女占比重,1.52,%,按年龄和性别分人口数
2-8,75-79岁,2024,性别比,89.28,（女=100）,按年龄和性别分人口数
2-8,80-84岁,2024,人口数,24282,人,按年龄和性别分人口数
2-8,80-84岁,2024,男,10997,人,按年龄和性别分人口数
2-8,80-84岁,2024,女,13285,人,按年龄和性别分人口数
2-8,80-84岁,2024,占总人口比重,1.68,%,按年龄和性别分人口数
2-8,80-84岁,2024,男占比重,0.76,%,按年龄和性别分人口数
2-8,80-84岁,2024,女占比重,0.92,%,按年龄和性别分人口数
2-8,80-84岁,2024,性别比,82.78,（女=100）,按年龄和性别分人口数
2-8,85-89岁,2024,人口数,13336,人,按年龄和性别分人口数
2-8,85-89岁,2024,男,5661,人,按年龄和性别分人口数
2-8,85-89岁,2024,女,7675,人,按年龄和性别分人口数
2-8,85-89岁,2024,占总人口比重,0.92,%,按年龄和性别分人口数
2-8,85-89岁,2024,男占比重,0.39,%,按年龄和性别分人口数
2-8,85-89岁,2024,女占比重,0.53,%,按年龄和性别分人口数
2-8,85-89岁,2024,性别比,73.76,（女=100）,按年龄和性别分人口数
2-8,90-94岁,2024,人口数,4999,人,按年龄和性别分人口数
2-8,90-94岁,2024,男,2004,人,按年龄和性别分人口数
2-8,90-94岁,2024,女,2995,人,按年龄和性别分人口数
2-8,90-94岁,2024,占总人口比重,0.35,%,按年龄和性别分人口数
2-8,90-94岁,2024,男占比重,0.14,%,按年龄和性别分人口数
2-8,90-94岁,2024,女占比重,0.21,%,按年龄和性别分人口数
2-8,90-94岁,2024,性别比,66.91,（女=100）,按年龄和性别分人口数
2-8,95岁及以上,2024,人口数,1062,人,按年龄和性别分人口数
2-8,95岁及以上,2024,男,341,人,按年龄和性别分人口数
2-8,95岁及以上,2024,女,720,人,按年龄和性别分人口数
2-8,95岁及以上,2024,占总人口比重,0.07,%,按年龄和性别分人口数
2-8,95岁及以上,2024,男占比重,0.02,%,按年龄和性别分人口数
2-8,95岁及以上,2024,女占比重,0.05,%,按年龄和性别分人口数
2-8,95岁及以上,2024,性别比,47.36,（女=100）,按年龄和性别分人口数
